"","Start.station","End.station","count"
"14525","Hennepin & Central Avenue NE","Minnehaha Park",2
"14526","Hennepin & Central Avenue NE","W 31st Street & Hennepin Ave S",2
"14527","Hennepin & Central Avenue NE","West 34th Street  & Hennepin Ave S",2
"14528","Hennepin & Laurel Ave","18th Ave Trail & 2nd Street NE",2
"14529","Hennepin & Laurel Ave","5th Street NE & 1st Ave NE",2
"14530","Hennepin & Laurel Ave","Boom Island Park",2
"14531","Hennepin & Laurel Ave","Franklin & 11th Ave",2
"14532","Hennepin & Laurel Ave","Marshall Street NE & 18th Ave NE",2
"14533","Hennepin & Laurel Ave","Pleasant Ave S &  Lake Street",2
"14534","Hennepin & Laurel Ave","Washington & Marquette",2
"14535","Hennepin Ave & S Washington Ave","10th Street E & Cedar Street",2
"14536","Hennepin Ave & S Washington Ave","27th Ave S & Minnehaha Ave",2
"14537","Hennepin Ave & S Washington Ave","Civil Engineering",2
"14538","Hennepin Ave & S Washington Ave","Cooke Hall",2
"14539","Hennepin Ave & S Washington Ave","E Franklin Ave & Bloomington Ave S",2
"14540","Hennepin Ave & S Washington Ave","Fairview Ave & University Ave",2
"14541","Hennepin Ave & S Washington Ave","Lake Harriet Bandshell",2
"14542","Hennepin Ave & S Washington Ave","NE Central Ave & NE 14th Ave",2
"14543","Hennepin Ave & S Washington Ave","U of M St. Paul Student Center",2
"14544","Hennepin Ave & S Washington Ave","University Ave SE & Bedford Street SE",2
"14545","Hennepin Ave & S Washington Ave","West 36th Street & Bryant Ave S",2
"14546","Hennepin County Government Center","10th Street E & Cedar Street",2
"14547","Hennepin County Government Center","7th Street N & Plymouth Ave N",2
"14548","Hennepin County Government Center","Delaware Street SE & 26th Ave SE",2
"14549","Hennepin County Government Center","E 38th Street & 42nd Ave S",2
"14550","Hennepin County Government Center","Elliot Ave S & E 24th Street",2
"14551","Hennepin County Government Center","Fairview Ave & University Ave",2
"14552","Hennepin County Government Center","Glenwood Ave & N Morgan Ave",2
"14553","Hennepin County Government Center","Kowalski's Market",2
"14554","Hennepin County Government Center","Marshall Street NE & Lowry Ave",2
"14555","Hennepin County Government Center","Nice Ride World Headquarters",2
"14556","Hennepin County Government Center","Plymouth Ave N &  N Oliver Ave",2
"14557","Hennepin County Government Center","U of M St. Paul Student Center",2
"14558","Hennepin County Government Center","W 50th Street & W Minnehaha Pkwy",2
"14559","Hennepin County Government Center","Wirth Beach",2
"14560","Hiawatha Ave & E 50th Street","2nd Street SE & 5th Ave SE",2
"14561","Hiawatha Ave & E 50th Street","Delaware Street SE & 26th Ave SE",2
"14562","Hiawatha Ave & E 50th Street","Gateway Park",2
"14563","Hiawatha Ave & E 50th Street","Lake Street & Humboldt",2
"14564","Hiawatha Ave & E 50th Street","Midtown Exchange",2
"14565","Hiawatha Ave & E 50th Street","Midtown Greenway & 5th Ave S",2
"14566","Hiawatha Ave & E 50th Street","North 2nd Street & 4th Ave N",2
"14567","Hiawatha Ave & E 50th Street","University & Bank Street SE",2
"14568","Hiawatha Ave & E 50th Street","University Ave NE & 12th Ave NE",2
"14569","Hiawatha Ave & E 50th Street","University Ave SE & Bedford Street SE",2
"14570","Hiawatha Ave & E 50th Street","University of St. Thomas",2
"14571","Hiawatha Ave & E 50th Street","Washington & Cedar",2
"14572","Hidden Falls Park","100 Main Street SE",2
"14573","Hidden Falls Park","Schmidt Brewery",2
"14574","Hidden Falls Park","U of M St. Paul Student Center",2
"14575","Hidden Falls Park","University of St. Thomas",2
"14576","Hidden Falls Park","Wilder Street & Marshall Ave",2
"14577","IDS Center","18th Ave Trail & 2nd Street NE",2
"14578","IDS Center","46th Street Light Rail Station",2
"14579","IDS Center","Bryant Ave N & West Broadway",2
"14580","IDS Center","Como Ave SE & 29th Ave SE",2
"14581","IDS Center","Cooke Hall",2
"14582","IDS Center","E Franklin Ave & Bloomington Ave S",2
"14583","IDS Center","East Lake Street & 36th Ave S",2
"14584","IDS Center","Elliot Hall",2
"14585","IDS Center","Hiawatha Ave & E 50th Street",2
"14586","IDS Center","Lake Harriet Bandshell",2
"14587","IDS Center","Marshall Street NE & Lowry Ave",2
"14588","IDS Center","Minnehaha Park",2
"14589","IDS Center","NE Central Ave & NE 14th Ave",2
"14590","IDS Center","Nice Ride World Headquarters",2
"14591","IDS Center","Rice Street & University Ave W",2
"14592","IDS Center","University of St. Thomas",2
"14593","IDS Center","Willey Hall",2
"14594","IDS Center","Williamson Hall",2
"14595","Kellogg Blvd & Wabasha Street","28th Street & Nicollet Ave. S",2
"14596","Kellogg Blvd & Wabasha Street","Fort Snelling Visitor Center",2
"14597","Kellogg Blvd & Wabasha Street","Lake Como Pavilion",2
"14598","Kellogg Blvd & Wabasha Street","Minnehaha Park",2
"14599","Kellogg Blvd & Wabasha Street","Mississippi River Blvd & Summit Ave",2
"14600","Kellogg Blvd & Wabasha Street","Rice Street & University Ave W",2
"14601","Kellogg Blvd & Wabasha Street","Selby Ave & Virginia Street",2
"14602","Kellogg Blvd E & Jackson Street","11th Ave S & S 2nd Street",2
"14603","Kellogg Blvd E & Jackson Street","Cedar Street & Columbus Ave",2
"14604","Kellogg Blvd E & Jackson Street","Hague Ave & Dale Street",2
"14605","Kellogg Blvd E & Jackson Street","Hamline Ave N & University Ave",2
"14606","Kellogg Blvd E & Jackson Street","Hidden Falls Park",2
"14607","Kellogg Blvd E & Jackson Street","Kowalski's Market",2
"14608","Kellogg Blvd E & Jackson Street","N Milton Street & Summit Ave",2
"14609","Kellogg Blvd E & Jackson Street","Rice Street & University Ave W",2
"14610","Kellogg Blvd E & Jackson Street","Wilder Street & Marshall Ave",2
"14611","Kellogg Blvd W & Smith Ave","East Lake Street & 36th Ave S",2
"14612","Kellogg Blvd W & Smith Ave","Grand Ave & Fairview Ave",2
"14613","Kellogg Blvd W & Smith Ave","Lexington Pkwy & University Ave",2
"14614","Kellogg Blvd W & Smith Ave","Mississippi River Blvd & Summit Ave",2
"14615","Kellogg Blvd W & Smith Ave","Wilder Street & Marshall Ave",2
"14616","Kowalski's Market","100 Main Street SE",2
"14617","Kowalski's Market","25th Street & 33rd Ave S",2
"14618","Kowalski's Market","27th Ave SE & University Ave",2
"14619","Kowalski's Market","5th Street E & Minnesota Street N",2
"14620","Kowalski's Market","Chicago & 27th Street",2
"14621","Kowalski's Market","E 38th Street & 42nd Ave S",2
"14622","Kowalski's Market","Fairview Ave & University Ave",2
"14623","Kowalski's Market","Hiawatha Ave & E 50th Street",2
"14624","Kowalski's Market","Lake Como Pavilion",2
"14625","Kowalski's Market","Rice Street & University Ave W",2
"14626","Kowalski's Market","Science Museum of Minnesota",2
"14627","Kowalski's Market","Upper Landing",2
"14628","Kowalski's Market","Wabasha Street S & E Fillmore Ave",2
"14629","Kowalski's Market","West 36th Street & Bryant Ave S",2
"14630","Lake Calhoun Center","5th Street NE & 1st Ave NE",2
"14631","Lake Calhoun Center","7th Street & 4th Ave S",2
"14632","Lake Calhoun Center","Civil Engineering",2
"14633","Lake Calhoun Center","Como Park Conservatory",2
"14634","Lake Calhoun Center","Elliot Park",2
"14635","Lake Calhoun Center","Elwood Ave N & Oak Park Ave N",2
"14636","Lake Calhoun Center","Franklin & 28th Ave",2
"14637","Lake Calhoun Center","Grand Ave & Fairview Ave",2
"14638","Lake Calhoun Center","Grant Street & Portland Ave",2
"14639","Lake Calhoun Center","Mpls Convention Center",2
"14640","Lake Calhoun Center","South 2nd Street & 3rd Ave S",2
"14641","Lake Calhoun Center","Washington Ave SE & Union Street SE",2
"14642","Lake Como Pavilion","2nd Ave N & N 6th Street",2
"14643","Lake Como Pavilion","7th Street SE & 10th Ave SE",2
"14644","Lake Como Pavilion","Delaware Street SE & 26th Ave SE",2
"14645","Lake Como Pavilion","E 14th Street & N Robert Street ",2
"14646","Lake Como Pavilion","E Franklin Ave & Bloomington Ave S",2
"14647","Lake Como Pavilion","Fairview Ave & University Ave",2
"14648","Lake Como Pavilion","Kellogg Blvd W & Smith Ave",2
"14649","Lake Como Pavilion","Landmark Plaza",2
"14650","Lake Como Pavilion","MCAD",2
"14651","Lake Como Pavilion","Minnesota Dept. of Transportation",2
"14652","Lake Como Pavilion","N Robert Street & E 10th Street",2
"14653","Lake Como Pavilion","Science Museum of Minnesota",2
"14654","Lake Como Pavilion","Union Depot",2
"14655","Lake Harriet Bandshell","2nd Street N & 8th Ave N",2
"14656","Lake Harriet Bandshell","5th Ave N & 4th Street N",2
"14657","Lake Harriet Bandshell","7th Street & 4th Ave S",2
"14658","Lake Harriet Bandshell","Chicago & 27th Street",2
"14659","Lake Harriet Bandshell","Coffman Union",2
"14660","Lake Harriet Bandshell","Elliot Ave S & E 24th Street",2
"14661","Lake Harriet Bandshell","Gateway Park",2
"14662","Lake Harriet Bandshell","Hennepin Ave & S Washington Ave",2
"14663","Lake Harriet Bandshell","Washington & Marquette",2
"14664","Lake Nokomis","26th Street & Hennepin",2
"14665","Lake Nokomis","27th Ave S & Minnehaha Ave",2
"14666","Lake Nokomis","Bohemian Flats",2
"14667","Lake Nokomis","Franklin & Portland",2
"14668","Lake Nokomis","Hague Ave & Dale Street",2
"14669","Lake Nokomis","Minnesota History Center",2
"14670","Lake Nokomis","Nice Ride World Headquarters",2
"14671","Lake Nokomis","Oak Street Ramp",2
"14672","Lake Nokomis","W 31st Street & Hennepin Ave S",2
"14673","Lake Nokomis","W 36th Street & W Calhoun Parkway",2
"14674","Lake Nokomis","West 32nd Street & Bryant Ave S",2
"14675","Lake Nokomis","Wilder Street & Marshall Ave",2
"14676","Lake Street & Humboldt","2nd Street N & 8th Ave N",2
"14677","Lake Street & Humboldt","5th Street NE & 1st Ave NE",2
"14678","Lake Street & Humboldt","Cooke Hall",2
"14679","Lake Street & Humboldt","Grand Ave & Fairview Ave",2
"14680","Lake Street & Humboldt","Mill City Quarter",2
"14681","Lake Street & Humboldt","Oak Street Ramp",2
"14682","Lake Street & Humboldt","Portland Ave & Washington Ave",2
"14683","Lake Street & Humboldt","Social Sciences",2
"14684","Lake Street & Humboldt","University Ave NE & 12th Ave NE",2
"14685","Lake Street & Humboldt","Washington & Marquette",2
"14686","Lake Street & Humboldt","Willey Hall",2
"14687","Lake Street & Knox Ave S","15th Ave SE & 4th Street SE",2
"14688","Lake Street & Knox Ave S","5th Street NE & 3rd Ave NE",2
"14689","Lake Street & Knox Ave S","Delaware Street SE & 26th Ave SE",2
"14690","Lake Street & Knox Ave S","East Lake Street & 36th Ave S",2
"14691","Lake Street & Knox Ave S","Girard Ave N & W Broadway Ave",2
"14692","Lake Street & Knox Ave S","Hennepin & Central Avenue NE",2
"14693","Lake Street & Knox Ave S","Kowalski's Market",2
"14694","Lake Street & Knox Ave S","University Ave NE & 12th Ave NE",2
"14695","Lake Street & Knox Ave S","University Ave SE & Bedford Street SE",2
"14696","Lake Street & Knox Ave S","Washington Ave SE & Union Street SE",2
"14697","Lake Street & Knox Ave S","Weisman Art Museum",2
"14698","Lake Street & Knox Ave S","West Broadway & Logan Ave N",2
"14699","Lake Street & Knox Ave S","Williamson Hall",2
"14700","Lake Street & West River Parkway","15th Ave SE & Como Ave SE",2
"14701","Lake Street & West River Parkway","26th Street & Hennepin",2
"14702","Lake Street & West River Parkway","2nd Ave S & S 3rd Street",2
"14703","Lake Street & West River Parkway","9th Street & 4th Ave",2
"14704","Lake Street & West River Parkway","Civil Engineering",2
"14705","Lake Street & West River Parkway","Como Park Conservatory",2
"14706","Lake Street & West River Parkway","Cooke Hall",2
"14707","Lake Street & West River Parkway","Dupont Ave S & W 29th Street",2
"14708","Lake Street & West River Parkway","Fort Snelling State Park",2
"14709","Lake Street & West River Parkway","Hennepin & Central Avenue NE",2
"14710","Lake Street & West River Parkway","Kellogg Blvd W & Smith Ave",2
"14711","Lake Street & West River Parkway","Logan Park",2
"14712","Lake Street & West River Parkway","Marshall Street NE & 8th Ave NE",2
"14713","Lake Street & West River Parkway","Minneapolis Farmers Market",2
"14714","Lake Street & West River Parkway","Nicollet Mall & Grant Street",2
"14715","Lake Street & West River Parkway","North Mississippi Regional Park",2
"14716","Lake Street & West River Parkway","U of M St. Paul Student Center",2
"14717","Lake Street & West River Parkway","Upper Landing",2
"14718","Lake Street & West River Parkway","W 36th Street & W Calhoun Parkway",2
"14719","Lake Street & West River Parkway","Washington & Marquette",2
"14720","Lake Street & West River Parkway","YWCA Downtown",2
"14721","Landmark Plaza","15th Ave SE & Como Ave SE",2
"14722","Landmark Plaza","Dale Street N & University Ave",2
"14723","Landmark Plaza","Fort Snelling State Park",2
"14724","Landmark Plaza","Macalester College",2
"14725","Landmark Plaza","Malcolm Ave SE & 5th Street SE",2
"14726","Landmark Plaza","University Ave & Western Ave",2
"14727","Lexington Pkwy & University Ave","10th Street E & Cedar Street",2
"14728","Lexington Pkwy & University Ave","15th Ave SE & Como Ave SE",2
"14729","Lexington Pkwy & University Ave","23rd Ave SE & 6th Street SE",2
"14730","Lexington Pkwy & University Ave","23rd Ave SE & University Ave SE",2
"14731","Lexington Pkwy & University Ave","27th Ave SE & University Ave",2
"14732","Lexington Pkwy & University Ave","5th Street E & Minnesota Street N",2
"14733","Lexington Pkwy & University Ave","Broadway Street N & 4th Street E",2
"14734","Lexington Pkwy & University Ave","Cleveland Ave S & Highland Parkway",2
"14735","Lexington Pkwy & University Ave","Como Ave SE & 29th Ave SE",2
"14736","Lexington Pkwy & University Ave","East Lake Street & 36th Ave S",2
"14737","Lexington Pkwy & University Ave","Harriet Island",2
"14738","Lexington Pkwy & University Ave","Kellogg Blvd & Wabasha Street",2
"14739","Lexington Pkwy & University Ave","Malcolm Ave SE & 5th Street SE",2
"14740","Lexington Pkwy & University Ave","N Robert Street & E 10th Street",2
"14741","Lexington Pkwy & University Ave","U of M St. Paul Student Center",2
"14742","Lexington Pkwy & University Ave","Union Depot",2
"14743","Lexington Pkwy & University Ave","University Ave SE & Bedford Street SE",2
"14744","Lexington Pkwy & University Ave","Wells Fargo Place",2
"14745","Logan Park","4th Street & 17th Ave SE",2
"14746","Logan Park","7th Street N & Plymouth Ave N",2
"14747","Logan Park","Como Park Conservatory",2
"14748","Logan Park","Dupont Ave & 22nd Street",2
"14749","Logan Park","E 38th Street & 42nd Ave S",2
"14750","Logan Park","E Franklin Ave & Bloomington Ave S",2
"14751","Logan Park","Elwood Ave N & Oak Park Ave N",2
"14752","Logan Park","Franklin & 11th Ave",2
"14753","Logan Park","Franklin & 28th Ave",2
"14754","Logan Park","Groveland Ave & Clifton Place",2
"14755","Logan Park","Minnehaha Park",2
"14756","Logan Park","Oak Street Ramp",2
"14757","Logan Park","Social Sciences",2
"14758","Logan Park","Union Depot",2
"14759","Logan Park","Weisman Art Museum",2
"14760","Logan Park","West 34th Street  & Hennepin Ave S",2
"14761","Logan Park","West Broadway & Logan Ave N",2
"14762","Logan Park","Wirth Beach",2
"14763","Loring Park","15th Ave SE & Como Ave SE",2
"14764","Loring Park","3rd Street NE & Lowry Ave NE",2
"14765","Loring Park","46th Street Light Rail Station",2
"14766","Loring Park","5th Street NE & 3rd Ave NE",2
"14767","Loring Park","Central Ave NE & 22nd Ave NE",2
"14768","Loring Park","E Franklin Ave & Bloomington Ave S",2
"14769","Loring Park","Elliot Ave S & E 24th Street",2
"14770","Loring Park","Elliot Hall",2
"14771","Loring Park","Franklin & 11th Ave",2
"14772","Loring Park","Franklin & 28th Ave",2
"14773","Loring Park","Girard Ave N & W Broadway Ave",2
"14774","Loring Park","Glenwood Ave & N Morgan Ave",2
"14775","Loring Park","Harriet Island",2
"14776","Loring Park","McNamara Center",2
"14777","Loring Park","Social Sciences",2
"14778","Loring Park","Upton Ave S & Sheridan Ave S",2
"14779","Loring Park","Washington Ave SE & Union Street SE",2
"14780","Lyndale Ave S & 22nd Street ","38th Street Light Rail Station",2
"14781","Lyndale Ave S & 22nd Street ","5th Ave N & 4th Street N",2
"14782","Lyndale Ave S & 22nd Street ","Carleton Street & University Ave ",2
"14783","Lyndale Ave S & 22nd Street ","Como Ave SE & 29th Ave SE",2
"14784","Lyndale Ave S & 22nd Street ","East Lake Street & 36th Ave S",2
"14785","Lyndale Ave S & 22nd Street ","Elliot Hall",2
"14786","Lyndale Ave S & 22nd Street ","Girard Ave N & W Broadway Ave",2
"14787","Lyndale Ave S & 22nd Street ","Marshall Street NE & 18th Ave NE",2
"14788","Lyndale Ave S & 22nd Street ","Marshall Street NE & Lowry Ave",2
"14789","Lyndale Ave S & 22nd Street ","N 4th Ave & W River Parkway",2
"14790","Lyndale Ave S & 22nd Street ","Plymouth Ave N &  N Oliver Ave",2
"14791","Lyndale Ave S & 22nd Street ","University Ave NE & 12th Ave NE",2
"14792","Lyndale Ave S & 22nd Street ","Weisman Art Museum",2
"14793","Lyndale Ave S & W 29th Street","2nd Street N & 8th Ave N",2
"14794","Lyndale Ave S & W 29th Street","3rd Ave S & E 38th Street",2
"14795","Lyndale Ave S & W 29th Street","3rd Street N & 8th Ave N",2
